"Entrada do Processo","Expediçao da Outorga","Expiração da Outorga","Situação da Outorga","Vazão Horária  (m³/h)","Volume Anual (m³)","Manancial","Latitude","Longitude","Tipo de Uso","Município ","Bacia Hidrográfica","Açude Monitorados"
"31/01/2008","25/11/2009","40507","Vencido","7.75","27900","Açude","-7,42005555555556","-38,0629722222222","Irrigação","Pedra Branca","Piancó","Saco"
"17/03/2005","31/05/2005","42114","Vencido","7.85","5654.98","Açude","-7,55713888888889","-37,8052777777778","Irrigação","Juru","Piancó","Timbaúba"
"16/03/2005","31/05/2005","42114","Vencido","23.25","16742.25","Açude","-7,55694444444444","-37,8042777777778","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","16/07/2008","40010","Vencido","4.86","17500","Açude","-7,42369444444444","-38,0614444444444","Irrigação","Nova Olinda","Piancó","Saco"
"17/03/2005","31/05/2005","42114","Vencido","15.73","11325.75","Açude","-7,56044444444444","-37,8096111111111","Irrigação","Juru","Piancó","Timbaúba"
"17/03/2005","31/05/2005","42114","Vencido","23.36","16817","Açude","-7,55958333333333","-37,8162777777778","Irrigação","Juru","Piancó","Timbaúba"
"17/03/2005","31/05/2005","42114","Vencido","23.3","16778.75","Açude","-7,56347222222222","-37,8084722222222","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","14/07/2008","40008","Vencido","9.56","34400","Açude","-7,41780555555556","-38,0655277777778","Irrigação","Nova Olinda","Piancó","Saco"
"25/02/2010","09/03/2010","40611","Vencido","11.47","41300","Açude","-7,40319444444444","-38,0658611111111","Irrigação","Nova Olinda","Piancó","Saco"
"25/02/2010","09/03/2010","40611","Vencido","9.56","34400","Açude","-7,42616666666667","-38,0815","Irrigação","Pedra Branca","Piancó","Saco"
"31/05/2005","20/04/2005","39558","Vencido","17.07","12296","Açude","-7,55875","-37,81425","Irrigação","Juru","Piancó","Timbaúba"
"31/01/2008","14/07/2008","40008","Vencido","5.8","20900","Açude","-7,41780277777778","-38,065525","Irrigação","Nova Olinda","Piancó","Saco"
"31/01/2008","28/12/2009","40540","Vencido","9.56","34400","Açude","-7,42347222222222","-38,061","Irrigação","Pedra Branca","Piancó","Saco"
"25/02/2010","09/03/2010","40611","Vencido","17.44","62800","Açude","-7,46725","-38,0479166666667","Irrigação","Nova Olinda","Piancó","Saco"
